å adlyde,adlyder,adlød,har adlydt,obey
å ake,aker,akte,har akt,ride a toboggan
å akseptere,,,,accept
å anbefale,anbefaler,anbefalte,har anbefalte,recommend
å angre,angrer,angret,har angret,regret
å arbeide,arbeider,arbeidet,har arbeidet,work
å arrestere,arresterer,arresterte,har arrestert,arrest
å avslutte,avslutter,avslutte,har avsluttet,finish, terminate
å avbryte,avbryter,avbrøt,har avbrutt,intterupt, break (off)
å avvæpne,avvæpner,avvæpnet,har avvæpnet,disarm
å angre,angrer,angret,har angret,regret
å arbeide,arbeider,arbeidet,har arbeidet,work
å arrangere,arrangerer,arrangerte,har arrangert,arrange
å arve,arver,arvet,har arvet,inherit
å bade,bader,badet,har badet,bathe, swim
å bake,baker,bakte,har bakt,bake
å banke,banker,banket,har banket,beat, knock
å barbere,barberer,barberte,har barbert,shave
å be (om),ber (om),ba (om),har bedt (om),pray, ask for something
å bedra,bedrar,bedro,har bedratt,cheat, swindle
å begrense,begrenser,begrenset,har begrenset,limit, confine
å begripe,begriper,begri(i)p,har begrept,grasp, understand
å begrunne,begrunner,begrunnet,har begrunnet,state the reasons for
å begynne,begynner,begynte,har begynt,begin
å beherske,behersker,behersket,har behersket,master, control
å beite,beiter,beitet,har beitet,graze
å beklage,beklager,beklaget,har beklaget,sorry, apologise
å bekrefte,bekrefter,bekreftet,har bekreftet,verify, confirm
å bekymre,bekymrer,bekymret,har bekymret,worry
å beseire,beseirer,beseiret,har beseiret,defeat, conquery
å beskrive,beskriver,beskrev,har beskrevet,describe
å bestemme,bestemmer,bestemte,har bestemt,decide
å bestille,bestiller,bestilte,har bestilt,order
å bestå,består,besto,har bestått,pass, consist of
å besvare,besvarer,besvarte,har besvart,answer, reply to
å besøke,besøker,besøkte,har besøkt,visit
å betale,betaler,betalte,har betalt,pay
å betegne,betegner,betegnet,har betegnet,denote
å bety,betyr,betydde,har betydd,mean
å binde,binder,bandt,har bundet,link
å bite,biter,bet,har bitt,bite
å bleke,bleker,blekte,har blekt,bleach
å bli,blir,ble/blei,har blitt,remain, become
å bløffe om,bløffer om,bløffet om,har bløffet om,bluff
å blåse,blåser,blåste,har blåst,blow (of wind)
å bo,bor,bodde,har bodd,dwell, live
å brekke,brekker,brakk,har brukket,break
å brenne,brenner,brente,har brent,burn
å bringe,bringer,brakte,har brakt,bring
å briste,brister,brast,har bristet,break, burst
å bruke,bruker,brukte,har brukt,use
å bryte,bryter ,brøt,har brutt,break
å burde,bør,burde,har burdet,should, ought
å bygge,bygger,bygde,har bygd,build
å bytte,bytter,byttet,har byttet,exchange, change
å bære,bærer,bar,har båret,bear, carry
å bølge,bølger,bølget,har bølget,undulate
å bøye,bøyer,bøyde,har bøyd,bend, bow, conjugate
å danse,danser,danset,har danset,dance
å dekke,dekker,dekket,har dekket,set the table
å dele,deler,delte,har delt,divide, share
å demonstrere,demonstrerer,demonstrerte,har demonstrert,demonstrate
å dette,detter,datt,har dettet,fall
å dikte,dikter,diktet,har diktet,compose, write
å dikte opp,dikter opp,diktet opp,har diktet opp,invent, fabricate
å diskutere,diskuterer,diskuterte,har diskutert,discuss
å dra,drar,dro,har dratt,drag, travel
å drepe,dreper,dre[te,har drept,kill
å drikke,drikker,drakk,har drukket,drink
å driste,drister,dristet,har dristet,venture, dare to
å drive,driver,drev / dreiv,har drevet,operate, run
å drømme,drømmer,drømte,har drømt,dream
å dusje,dusjer,dusjet,har dusjet,shower
å dø,dør,dødde  / døde,har dødd,die
å eie,eier,eide,har eide,own
å elske,elsker,elsket,har elsket,love
å ende,ender,endte,har endt,end, finish, close
å erfare,erfarer,erfarte,har erfart,experience
å ete,eter,åt,har ett,eat
å evakuere,evakuerer,evakuerte,har evakuert,evacuate
å falle,faller,falt,har falt,fall
å fare,farer,for,har fart,go, travel, proceed
å feire,feirer,feiret,har feiret,celebrate
å finne,finner,fant,har funnet,find
å finnes,finnes,fantes,har funnes,be found, exist
